ITERATIONS: 300
ITERATION: 1
1 10 21
2 10 1
3 40 29
4 10 21
5 39 20
6 11 0
7 40 41
8 29 40
9 9 40
10 11 0
11 39 30
12 41 0
13 9 30
14 0 41
15 11 40
16 29 40
17 1 0
18 0 40
19 29 30
20 30 31
21 30 0
22 40 0
23 30 19
24 40 29
25 0 9
26 20 31
27 21 0
28 0 0
29 10 41
30 11 30
31 9 0
32 29 40
33 11 30
34 40 1
35 19 0
36 1 10
37 1 10
38 10 19
39 31 40
40 10 9
41 11 0
42 40 9
43 30 11
44 19 30
45 41 10
46 31 40
47 40 29
48 0 9
49 30 19
ITERATION: 2
1 10 22
2 10 2
3 40 28
4 10 22
5 38 20
6 12 0
7 40 42
8 28 40
9 8 40
10 12 0
11 38 30
12 42 0
13 8 30
14 0 42
15 12 40
16 28 40
17 2 0
18 0 39
19 28 30
20 30 32
21 31 0
22 39 0
23 30 18
24 40 28
25 0 8
26 20 32
27 22 0
28 0 1
29 10 42
30 12 30
31 8 0
32 28 40
33 12 30
34 40 2
35 18 0
36 2 10
37 2 10
38 10 18
39 32 40
40 10 8
41 12 0
42 40 8
43 30 12
44 18 30
45 42 10
46 32 40
47 40 28
48 0 8
49 30 18
ITERATION: 3
1 10 23
2 10 3
3 40 27
4 10 23
5 37 20
6 13 0
7 40 43
8 27 40
9 7 40
10 13 0
11 37 30
12 43 0
13 7 30
14 0 43
15 13 40
16 27 40
17 3 0
18 0 38
19 27 30
20 30 33
21 32 0
22 38 0
23 30 17
24 40 27
25 0 7
26 20 33
27 23 0
28 0 2
29 10 43
30 13 30
31 7 0
32 27 40
33 13 30
34 40 3
35 17 0
36 3 10
37 3 10
38 10 17
39 33 40
40 10 7
41 13 0
42 40 7
43 30 13
44 17 30
45 43 10
46 33 40
47 40 27
48 0 7
49 30 17
ITERATION: 4
1 10 24
2 10 4
3 40 26
4 10 24
5 36 20
6 14 0
7 40 44
8 26 40
9 6 40
10 14 0
11 36 30
12 44 0
13 6 30
14 0 44
15 14 40
16 26 40
17 4 0
18 0 37
19 26 30
20 30 34
21 33 0
22 37 0
23 30 16
24 40 26
25 0 6
26 20 34
27 24 0
28 0 3
29 10 44
30 14 30
31 6 0
32 26 40
33 14 30
34 40 4
35 16 0
36 4 10
37 4 10
38 10 16
39 34 40
40 10 6
41 14 0
42 40 6
43 30 14
44 16 30
45 44 10
46 34 40
47 40 26
48 0 6
49 30 16
ITERATION: 5
1 10 25
2 10 5
3 40 25
4 10 25
5 35 20
6 15 0
7 40 45
8 25 40
9 5 40
10 15 0
11 35 30
12 45 0
13 5 30
14 0 45
15 15 40
16 25 40
17 5 0
18 0 36
19 25 30
20 30 35
21 34 0
22 36 0
23 30 15
24 40 25
25 0 5
26 20 35
27 25 0
28 0 4
29 10 45
30 15 30
31 5 0
32 25 40
33 15 30
34 40 5
35 15 0
36 5 10
37 5 10
38 10 15
39 35 40
40 10 5
41 15 0
42 40 5
43 30 15
44 15 30
45 45 10
46 35 40
47 40 25
48 0 5
49 30 15
ITERATION: 6
1 10 26
2 10 6
3 40 24
4 10 26
5 34 20
6 16 0
7 40 46
8 24 40
9 4 40
10 16 0
11 34 30
12 46 0
13 4 30
14 0 46
15 16 40
16 24 40
17 6 0
18 0 35
19 24 30
20 30 36
21 35 0
22 35 0
23 30 14
24 40 24
25 0 4
26 20 36
27 26 0
28 0 5
29 10 46
30 16 30
31 4 0
32 24 40
33 16 30
34 40 6
35 14 0
36 6 10
37 6 10
38 10 14
39 36 40
40 10 4
41 16 0
42 40 4
43 30 16
44 14 30
45 46 10
46 36 40
47 40 24
48 0 4
49 30 14
ITERATION: 7
1 10 27
2 10 7
3 40 23
4 10 27
5 33 20
6 17 0
7 40 47
8 23 40
9 3 40
10 17 0
11 33 30
12 47 0
13 3 30
14 0 47
15 17 40
16 23 40
17 7 0
18 0 34
19 23 30
20 30 37
21 36 0
22 34 0
23 30 13
24 40 23
25 0 3
26 20 37
27 27 0
28 0 6
29 10 47
30 17 30
31 3 0
32 23 40
33 17 30
34 40 7
35 13 0
36 7 10
37 7 10
38 10 13
39 37 40
40 10 3
41 17 0
42 40 3
43 30 17
44 13 30
45 47 10
46 37 40
47 40 23
48 0 3
49 30 13
ITERATION: 8
1 10 28
2 10 8
3 40 22
4 10 28
5 32 20
6 18 0
7 40 48
8 22 40
9 2 40
10 18 0
11 32 30
12 48 0
13 2 30
14 0 48
15 18 40
16 22 40
17 8 0
18 0 33
19 22 30
20 30 38
21 37 0
22 33 0
23 30 12
24 40 22
25 0 2
26 20 38
27 28 0
28 0 7
29 10 48
30 18 30
31 2 0
32 22 40
33 18 30
34 40 8
35 12 0
36 8 10
37 8 10
38 10 12
39 38 40
40 10 2
41 18 0
42 40 2
43 30 18
44 12 30
45 48 10
46 38 40
47 40 22
48 0 2
49 30 12
ITERATION: 9
1 10 29
2 10 9
3 40 21
4 10 29
5 31 20
6 19 0
7 40 49
8 21 40
9 1 40
10 19 0
11 31 30
12 49 0
13 1 30
14 0 49
15 19 40
16 21 40
17 9 0
18 0 32
19 21 30
20 30 39
21 38 0
22 32 0
23 30 11
24 40 21
25 0 1
26 20 39
27 29 0
28 0 8
29 10 49
30 19 30
31 1 0
32 21 40
33 19 30
34 40 9
35 11 0
36 9 10
37 9 10
38 10 11
39 39 40
40 10 1
41 19 0
42 40 1
43 30 19
44 11 30
45 49 10
46 39 40
47 40 21
48 0 1
49 30 11
ITERATION: 10
1 10 30
2 10 10
3 40 20
4 10 30
5 30 20
6 20 0
7 39 49
8 20 40
9 0 40
10 20 0
11 30 30
12 49 1
13 0 30
14 1 49
15 20 40
16 20 40
17 10 0
18 0 31
19 20 30
20 30 40
21 39 0
22 31 0
23 30 10
24 40 20
25 0 0
26 20 40
27 30 0
28 0 9
29 9 49
30 20 30
31 0 0
32 20 40
33 20 30
34 40 10
35 10 0
36 10 10
37 10 10
38 10 10
39 40 40
40 10 0
41 20 0
42 40 0
43 30 20
44 10 30
45 49 11
46 40 40
47 40 20
48 0 0
49 30 10
ITERATION: 11
1 10 31
2 11 10
3 40 19
4 10 31
5 30 21
6 20 0
7 38 49
8 19 40
9 0 41
10 20 1
11 30 31
12 49 2
13 0 31
14 2 49
15 21 40
16 19 40
17 10 0
18 0 30
19 19 30
20 31 40
21 40 0
22 30 0
23 31 10
24 41 20
25 1 0
26 20 41
27 30 0
28 0 10
29 8 49
30 20 29
31 0 1
32 20 41
33 21 30
34 40 11
35 10 0
36 11 10
37 11 10
38 11 10
39 41 40
40 11 0
41 20 1
42 39 0
43 30 21
44 9 30
45 49 12
46 41 40
47 40 19
48 1 0
49 31 10
ITERATION: 12
1 10 32
2 12 10
3 40 18
4 10 32
5 30 22
6 19 0
7 37 49
8 18 40
9 0 42
10 20 2
11 30 32
12 49 3
13 0 32
14 3 49
15 22 40
16 18 40
17 9 0
18 1 30
19 18 30
20 32 40
21 40 0
22 30 0
23 32 10
24 42 20
25 2 0
26 20 42
27 29 0
28 0 10
29 7 49
30 20 28
31 0 2
32 20 42
33 22 30
34 40 12
35 11 0
36 12 10
37 12 10
38 12 10
39 42 40
40 12 0
41 20 2
42 38 0
43 30 22
44 8 30
45 49 13
46 42 40
47 40 18
48 2 0
49 32 10
ITERATION: 13
1 10 33
2 13 10
3 40 17
4 10 33
5 30 23
6 18 0
7 36 49
8 17 40
9 0 43
10 20 3
11 30 33
12 49 4
13 0 33
14 4 49
15 23 40
16 17 40
17 8 0
18 2 30
19 17 30
20 33 40
21 39 0
22 29 0
23 33 10
24 43 20
25 3 0
26 20 43
27 28 0
28 0 11
29 6 49
30 20 27
31 0 3
32 20 43
33 23 30
34 40 13
35 12 0
36 13 10
37 13 10
38 13 10
39 43 40
40 13 0
41 20 3
42 37 0
43 30 23
44 7 30
45 49 14
46 43 40
47 40 17
48 3 0
49 33 10
ITERATION: 14
1 10 34
2 14 10
3 40 16
4 10 34
5 30 24
6 17 0
7 35 49
8 16 40
9 0 44
10 20 4
11 30 34
12 49 5
13 0 34
14 5 49
15 24 40
16 16 40
17 7 0
18 3 30
19 16 30
20 34 40
21 38 0
22 28 0
23 34 10
24 44 20
25 4 0
26 20 44
27 27 0
28 0 12
29 5 49
30 20 26
31 0 4
32 20 44
33 24 30
34 40 14
35 13 0
36 14 10
37 14 10
38 14 10
39 44 40
40 14 0
41 20 4
42 36 0
43 30 24
44 6 30
45 49 15
46 44 40
47 40 16
48 4 0
49 34 10
ITERATION: 15
1 10 35
2 15 10
3 40 15
4 10 35
5 30 25
6 16 0
7 34 49
8 15 40
9 0 45
10 20 5
11 30 35
12 49 6
13 0 35
14 6 49
15 25 40
16 15 40
17 6 0
18 4 30
19 15 30
20 35 40
21 37 0
22 27 0
23 35 10
24 45 20
25 5 0
26 20 45
27 26 0
28 0 13
29 4 49
30 20 25
31 0 5
32 20 45
33 25 30
34 40 15
35 14 0
36 15 10
37 15 10
38 15 10
39 45 40
40 15 0
41 20 5
42 35 0
43 30 25
44 5 30
45 49 16
46 45 40
47 40 15
48 5 0
49 35 10
ITERATION: 16
1 10 36
2 16 10
3 40 14
4 10 36
5 30 26
6 15 0
7 33 49
8 14 40
9 0 46
10 20 6
11 30 36
12 49 7
13 0 36
14 7 49
15 26 40
16 14 40
17 5 0
18 5 30
19 14 30
20 36 40
21 36 0
22 26 0
23 36 10
24 46 20
25 6 0
26 20 46
27 25 0
28 0 14
29 3 49
30 20 24
31 0 6
32 20 46
33 26 30
34 40 16
35 15 0
36 16 10
37 16 10
38 16 10
39 46 40
40 16 0
41 20 6
42 34 0
43 30 26
44 4 30
45 49 17
46 46 40
47 40 14
48 6 0
49 36 10
ITERATION: 17
1 10 37
2 17 10
3 40 13
4 10 37
5 30 27
6 14 0
7 32 49
8 13 40
9 0 47
10 20 7
11 30 37
12 49 8
13 0 37
14 8 49
15 27 40
16 13 40
17 4 0
18 6 30
19 13 30
20 37 40
21 35 0
22 25 0
23 37 10
24 47 20
25 7 0
26 20 47
27 24 0
28 0 15
29 2 49
30 20 23
31 0 7
32 20 47
33 27 30
34 40 17
35 16 0
36 17 10
37 17 10
38 17 10
39 47 40
40 17 0
41 20 7
42 33 0
43 30 27
44 3 30
45 49 18
46 47 40
47 40 13
48 7 0
49 37 10
ITERATION: 18
1 10 38
2 18 10
3 40 12
4 10 38
5 30 28
6 13 0
7 31 49
8 12 40
9 0 48
10 20 8
11 30 38
12 49 9
13 0 38
14 9 49
15 28 40
16 12 40
17 3 0
18 7 30
19 12 30
20 38 40
21 34 0
22 24 0
23 38 10
24 48 20
25 8 0
26 20 48
27 23 0
28 0 16
29 1 49
30 20 22
31 0 8
32 20 48
33 28 30
34 40 18
35 17 0
36 18 10
37 18 10
38 18 10
39 48 40
40 18 0
41 20 8
42 32 0
43 30 28
44 2 30
45 49 19
46 48 40
47 40 12
48 8 0
49 38 10
ITERATION: 19
1 10 39
2 19 10
3 40 11
4 10 39
5 30 29
6 12 0
7 30 49
8 11 40
9 0 49
10 20 9
11 30 39
12 49 10
13 0 39
14 10 49
15 29 40
16 11 40
17 2 0
18 8 30
19 11 30
20 39 40
21 33 0
22 23 0
23 39 10
24 49 20
25 9 0
26 20 49
27 22 0
28 0 17
29 0 49
30 20 21
31 0 9
32 20 49
33 29 30
34 40 19
35 18 0
36 19 10
37 19 10
38 19 10
39 49 40
40 19 0
41 20 9
42 31 0
43 30 29
44 1 30
45 49 20
46 49 40
47 40 11
48 9 0
49 39 10
ITERATION: 20
1 10 40
2 20 10
3 40 10
4 10 40
5 30 30
6 11 0
7 30 48
8 10 40
9 1 49
10 20 10
11 30 40
12 49 10
13 0 40
14 10 48
15 30 40
16 10 40
17 1 0
18 9 30
19 10 30
20 40 40
21 32 0
22 22 0
23 40 10
24 49 21
25 10 0
26 19 49
27 21 0
28 0 18
29 0 48
30 20 20
31 0 10
32 19 49
33 30 30
34 40 20
35 19 0
