USERS: 100
ITERATIONS: 300
ITERATION: 1
1 4 7
2 43 7
3 47 43
4 10 26
5 32 4
6 45 21
7 2 1
8 12 46
9 11 46
10 27 3
11 4 31
12 41 18
13 47 3
14 45 44
15 43 39
16 22 37
17 34 39
18 22 10
19 22 40
20 20 37
21 43 27
22 25 40
23 33 23
24 18 30
25 8 22
26 3 24
27 11 17
28 38 33
29 26 7
30 18 29
31 10 33
32 20 3
33 47 0
34 29 35
35 27 17
36 49 0
37 2 13
38 35 15
39 49 22
40 7 17
41 29 39
42 35 22
43 41 13
44 29 25
45 13 15
46 1 18
47 23 13
48 2 22
49 44 13
50 12 20
51 3 15
52 20 4
53 31 40
54 17 35
55 1 48
56 37 4
57 43 43
58 20 10
59 37 16
60 43 39
61 34 10
62 40 4
63 15 35
64 19 7
65 20 47
66 34 23
67 46 33
68 3 29
69 4 28
70 3 12
71 21 2
72 13 24
73 6 24
74 12 45
75 2 1
76 6 47
77 31 3
78 13 48
79 38 7
80 19 47
81 8 3
82 17 8
83 48 21
84 33 4
85 33 2
86 2 16
87 36 7
88 29 40
89 12 44
90 15 7
91 41 3
92 35 1
93 49 25
94 37 6
95 7 13
96 45 20
97 1 43
98 27 17
99 44 42
100 17 19
ITERATION: 2
1 5 7
2 42 7
3 48 44
4 10 25
5 34 4
6 45 20
7 3 1
8 12 45
9 3 38
10 28 3
11 2 33
12 42 19
13 48 2
14 44 45
15 43 40
16 6 37
17 35 38
18 21 10
19 23 41
20 20 35
21 44 26
22 25 41
23 33 24
24 18 29
25 0 14
26 5 26
27 9 15
28 37 34
29 24 7
30 17 29
31 9 33
32 19 4
33 48 1
34 28 34
35 27 25
36 48 0
37 4 15
38 36 16
39 49 23
40 7 16
41 30 39
42 35 21
43 40 12
44 33 25
45 15 17
46 1 18
47 23 14
48 1 21
49 36 5
50 20 12
51 4 15
52 21 4
53 30 39
54 17 33
55 1 49
56 35 4
57 43 41
58 21 11
59 39 14
60 42 39
61 34 2
62 24 4
63 14 36
64 20 7
65 21 47
66 36 21
67 48 33
68 5 31
69 8 28
70 3 11
71 20 3
72 13 16
73 6 25
74 11 44
75 2 1
76 6 48
77 33 3
78 13 49
79 38 15
80 18 46
81 7 2
82 19 10
83 47 21
84 32 3
85 32 3
86 0 14
87 40 11
88 29 41
89 12 43
90 13 5
91 42 3
92 34 1
93 49 25
94 38 7
95 7 17
96 46 20
97 2 43
98 28 17
99 44 48
100 17 21
ITERATION: 3
1 5 5
2 42 5
3 47 45
4 6 29
5 35 3
6 45 19
7 3 1
8 13 45
9 3 36
10 30 5
11 3 32
12 34 19
13 48 2
14 43 46
15 42 40
16 6 36
17 36 39
18 5 26
19 19 45
20 12 27
21 44 27
22 26 40
23 34 23
24 2 29
25 1 13
26 6 25
27 10 14
28 35 34
29 24 6
30 19 27
31 9 34
32 20 3
33 34 1
34 27 34
35 28 26
36 47 1
37 4 17
38 36 17
39 41 23
40 7 17
41 29 38
42 34 22
43 42 14
44 34 25
45 16 16
46 1 34
47 23 13
48 0 20
49 34 5
50 21 11
51 12 7
52 20 5
53 29 40
54 15 33
55 1 49
56 34 4
57 44 41
58 23 11
59 39 13
60 42 38
61 35 3
62 24 6
63 13 36
64 19 7
65 21 46
66 36 22
67 48 34
68 6 31
69 9 29
70 2 12
71 19 4
72 13 17
73 5 24
74 10 45
75 1 0
76 5 48
77 34 4
78 14 49
79 42 15
80 26 38
81 6 2
82 19 9
83 48 21
84 33 4
85 30 1
86 4 18
87 39 11
88 29 40
89 13 44
90 12 5
91 46 3
92 32 3
93 49 25
94 38 8
95 6 17
96 47 20
97 2 44
98 29 18
99 43 48
100 13 25
ITERATION: 4
1 5 4
2 41 6
3 48 45
4 8 29
5 34 2
6 37 19
7 4 0
8 14 46
9 5 36
10 30 6
11 4 31
12 34 21
13 49 2
14 43 45
15 41 39
16 7 37
17 35 40
18 6 27
19 15 41
20 12 28
21 45 26
22 26 24
23 33 23
24 3 28
25 0 13
26 7 26
27 10 13
28 36 33
29 25 5
30 20 28
31 8 34
32 20 4
33 32 3
34 27 33
35 29 26
36 45 1
37 3 17
38 38 19
39 42 22
40 8 16
41 27 36
42 35 23
43 43 15
44 35 24
45 16 17
46 0 33
47 23 12
48 0 20
49 36 5
50 20 11
51 12 9
52 20 4
53 31 42
54 17 35
55 2 49
56 36 6
57 44 42
58 25 9
59 40 13
60 40 40
61 34 2
62 23 7
63 11 36
64 20 8
65 20 45
66 37 23
67 40 42
68 7 32
69 10 28
70 2 16
71 19 3
72 14 18
73 6 23
74 10 44
75 0 0
76 5 47
77 30 0
78 13 49
79 44 17
80 25 37
81 10 6
82 20 9
83 49 21
84 31 6
85 31 2
86 6 20
87 39 9
88 30 41
89 12 44
90 14 5
91 36 3
92 48 3
93 49 26
94 39 7
95 6 18
96 48 20
97 1 43
98 21 10
99 39 44
100 13 26
ITERATION: 5
1 6 4
2 40 7
3 48 49
4 12 25
5 33 1
6 39 21
7 4 0
8 14 47
9 5 35
10 26 2
11 3 31
12 35 22
13 49 2
14 44 45
15 42 39
16 6 36
17 34 39
18 6 28
19 16 42
20 28 28
21 44 26
22 26 23
23 31 23
24 5 26
25 0 14
26 8 26
27 9 14
28 36 34
29 17 5
30 4 44
31 9 33
32 19 4
33 30 3
34 28 32
35 28 25
36 45 3
37 4 18
38 38 20
39 42 23
40 6 18
41 28 35
42 36 23
43 44 16
44 27 16
45 16 16
46 0 32
47 24 11
48 0 20
49 36 4
50 21 10
51 11 9
52 28 4
53 30 41
54 18 36
55 1 49
56 35 5
57 45 41
58 26 8
59 38 13
60 40 42
61 34 2
62 24 6
63 12 37
64 19 9
65 19 46
66 38 24
67 41 41
68 8 32
69 11 27
70 0 14
71 19 2
72 12 18
73 14 23
74 11 43
75 0 1
76 4 47
77 30 0
78 13 48
79 43 17
80 26 37
81 11 7
82 19 10
83 48 20
84 31 5
85 31 1
86 7 20
87 40 9
88 31 42
89 11 45
90 12 3
91 37 4
92 47 4
93 41 26
94 39 8
95 6 19
96 47 20
97 2 43
98 22 9
99 39 46
100 11 28
ITERATION: 6
1 6 5
2 41 8
3 48 49
4 11 24
5 35 1
6 38 20
7 8 4
8 30 31
9 5 36
10 27 1
11 3 32
12 36 23
13 49 3
14 45 45
15 43 39
16 2 32
17 36 37
18 7 28
19 18 44
20 36 28
21 45 25
22 28 25
23 32 22
24 4 26
25 0 14
26 9 27
27 9 15
28 37 34
29 18 6
30 12 44
31 7 33
32 19 12
33 29 2
34 29 33
35 29 25
36 46 2
37 4 19
38 40 18
39 42 22
40 4 16
41 12 19
42 37 22
43 43 16
44 26 15
45 15 16
46 2 32
47 25 12
48 1 21
49 35 4
50 21 11
51 9 11
52 29 5
53 32 41
54 17 37
55 2 48
56 37 7
57 44 42
58 27 8
59 36 11
60 41 41
61 35 2
62 23 6
63 13 37
64 18 9
65 19 45
66 37 24
67 40 40
68 6 30
69 11 26
70 2 12
71 19 2
72 11 17
73 14 22
74 12 43
75 0 1
76 3 48
77 30 1
78 7 42
79 43 18
80 25 38
81 12 7
82 18 9
83 49 19
84 33 5
85 32 0
86 7 19
87 39 8
88 30 41
89 10 46
90 14 5
91 37 2
92 35 16
93 42 26
94 41 6
95 6 20
96 49 22
97 4 45
