USERS: 49
ITERATIONS: 300
ITERATION: 1
1 21 17
2 38 42
3 42 31
4 29 15
5 6 6
6 1 16
7 28 6
8 31 36
9 28 21
10 27 1
11 22 17
12 15 29
13 34 44
14 0 4
15 22 0
16 35 37
17 16 22
18 29 20
19 27 10
20 38 29
21 19 5
22 43 38
23 34 1
24 31 20
25 11 41
26 38 23
27 0 15
28 28 35
29 15 9
30 0 14
31 30 44
32 14 14
33 24 38
34 36 43
35 41 15
36 37 32
37 34 1
38 26 17
39 42 25
40 33 37
41 10 22
42 7 41
43 42 26
44 47 43
45 26 47
46 12 13
47 17 8
48 39 18
49 41 2
ITERATION: 2
1 21 18
2 37 42
3 44 33
4 27 15
5 14 6
6 2 17
7 29 5
8 31 35
9 26 21
10 27 3
11 21 17
12 15 30
13 35 44
14 1 4
15 22 0
16 27 45
17 18 22
18 21 20
19 28 11
20 39 28
21 18 5
22 43 39
23 36 1
24 30 21
25 11 42
26 37 23
27 0 15
28 28 34
29 15 8
30 2 12
31 31 45
32 14 6
33 23 38
34 38 45
35 42 14
36 38 32
37 35 0
38 27 18
39 41 24
40 31 37
41 10 23
42 6 40
43 42 25
44 46 44
45 27 47
46 13 14
47 18 9
48 39 19
49 40 3
ITERATION: 3
1 21 19
2 36 42
3 43 32
4 26 15
5 13 7
6 1 16
7 29 3
8 32 36
9 25 22
10 29 1
11 20 16
12 16 30
13 34 45
14 3 4
15 22 1
16 43 29
17 19 22
18 20 19
19 27 11
20 38 27
21 34 21
22 42 38
23 37 0
24 30 20
25 11 40
26 39 21
27 0 15
28 29 35
29 16 8
30 2 11
31 31 44
32 14 4
33 25 38
34 37 44
35 42 13
36 38 33
37 35 0
38 26 18
39 37 20
40 47 21
41 10 22
42 7 41
43 43 24
44 46 45
45 28 46
46 5 14
47 17 10
48 40 18
49 39 2
ITERATION: 4
1 19 21
2 36 46
3 42 32
4 25 14
5 14 8
6 5 12
7 28 2
8 32 37
9 24 22
10 28 1
11 28 24
12 8 38
13 42 45
14 4 3
15 22 0
16 42 29
17 19 21
18 21 20
19 26 11
20 36 25
21 34 22
22 41 37
23 37 1
24 29 20
25 10 40
26 41 23
27 3 18
28 28 35
29 24 8
30 4 9
31 39 36
32 14 4
33 26 39
34 38 45
35 44 15
36 38 34
37 35 1
38 25 17
39 39 18
40 48 20
41 10 21
