USERS: 100
ITERATIONS: 300
ITERATION: 1
1 20 9
2 0 39
3 40 41
4 1 10
5 20 9
6 40 21
7 10 0
8 1 20
9 39 10
10 41 10
11 19 40
12 10 41
13 9 20
14 19 20
15 0 0
16 10 39
17 30 21
18 10 29
19 29 40
20 41 20
21 29 10
22 31 40
23 10 41
24 30 0
25 39 40
26 0 30
27 39 10
28 30 9
29 20 11
30 10 19
31 20 29
32 0 31
33 39 30
34 9 10
35 30 9
36 19 10
37 39 0
38 0 19
39 31 30
40 21 0
41 30 0
42 19 30
43 1 20
44 9 40
45 10 39
46 41 20
47 30 21
48 9 30
49 31 0
50 10 11
51 30 0
52 20 21
53 31 0
54 40 31
55 1 30
56 21 10
57 10 9
58 29 20
59 10 11
60 29 30
61 31 0
62 0 20
63 20 0
64 29 40
65 0 40
66 39 0
67 19 20
68 29 0
69 20 9
70 9 20
71 11 40
72 11 30
73 20 11
74 1 20
75 19 30
76 31 30
77 20 1
78 10 11
79 20 41
80 10 9
81 20 21
82 10 11
83 10 19
84 1 10
85 41 40
86 10 9
87 31 30
88 20 31
89 30 31
90 0 0
91 19 10
92 0 10
93 40 1
94 29 40
95 11 0
96 0 11
97 10 29
98 0 9
99 10 11
100 41 0
ITERATION: 2
1 20 8
2 0 38
3 40 42
4 2 10
5 20 8
6 40 22
7 9 0
8 2 20
9 38 10
10 42 10
11 18 40
12 10 42
13 8 20
14 18 20
15 0 0
16 10 38
17 30 22
18 10 28
19 28 40
20 42 20
21 28 10
22 32 40
23 10 42
24 31 0
25 38 40
26 0 31
27 38 10
28 30 8
29 20 12
30 10 18
31 20 28
32 0 32
33 38 30
34 8 10
35 30 8
36 18 10
37 38 0
38 0 18
39 32 30
40 22 0
41 31 0
42 18 30
43 2 20
44 8 40
45 10 38
46 42 20
47 30 22
48 8 30
49 32 0
50 10 12
51 29 0
52 20 22
53 32 0
54 40 32
55 2 30
56 22 10
57 10 8
58 28 20
59 10 12
60 28 30
61 32 0
62 0 21
63 19 0
64 28 40
65 0 41
66 38 0
67 18 20
68 28 0
69 20 8
70 8 20
71 12 40
72 12 30
73 20 12
74 2 20
75 18 30
76 32 30
77 20 2
78 10 12
79 20 42
80 10 8
81 20 22
82 10 12
83 10 18
84 2 10
85 42 40
86 10 8
87 32 30
88 20 32
89 30 32
90 0 1
91 18 10
92 0 9
93 40 2
94 28 40
95 12 0
96 0 12
97 10 28
98 0 8
99 10 12
100 42 0
ITERATION: 3
1 20 7
2 0 37
3 40 43
4 3 10
5 20 7
6 40 23
7 8 0
8 3 20
9 37 10
10 43 10
11 17 40
12 10 43
13 7 20
14 17 20
15 0 1
16 10 37
17 30 23
18 10 27
19 27 40
20 43 20
21 27 10
22 33 40
23 10 43
24 32 0
25 37 40
26 0 32
27 37 10
28 30 7
29 20 13
30 10 17
31 20 27
32 0 33
33 37 30
34 7 10
35 30 7
36 17 10
37 37 0
38 0 17
39 33 30
40 23 0
41 32 0
42 17 30
43 3 20
44 7 40
45 10 37
46 43 20
47 30 23
48 7 30
49 33 0
50 10 13
51 28 0
52 20 23
53 33 0
54 40 33
55 3 30
56 23 10
57 10 7
58 27 20
59 10 13
60 27 30
61 33 0
62 0 22
63 18 0
64 27 40
65 0 42
66 37 0
67 17 20
68 27 0
69 20 7
70 7 20
71 13 40
72 13 30
73 20 13
74 3 20
75 17 30
76 33 30
77 20 3
78 10 13
79 20 43
80 10 7
81 20 23
82 10 13
83 10 17
84 3 10
85 43 40
86 10 7
87 33 30
88 20 33
89 30 33
90 0 2
91 17 10
92 0 8
93 40 3
94 27 40
95 13 0
96 0 13
97 10 27
98 0 7
99 10 13
100 43 0
ITERATION: 4
1 20 6
2 0 36
3 40 44
4 4 10
5 20 6
6 40 24
7 7 0
8 4 20
9 36 10
10 44 10
11 16 40
12 10 44
13 6 20
14 16 20
15 0 2
16 10 36
17 30 24
18 10 26
19 26 40
20 44 20
21 26 10
22 34 40
23 10 44
24 33 0
25 36 40
26 0 33
27 36 10
28 30 6
29 20 14
30 10 16
31 20 26
32 0 34
33 36 30
34 6 10
35 30 6
36 16 10
37 36 0
38 0 16
39 34 30
40 24 0
41 33 0
42 16 30
43 4 20
44 6 40
45 10 36
46 44 20
47 30 24
48 6 30
49 34 0
50 10 14
51 27 0
52 20 24
53 34 0
54 40 34
55 4 30
56 24 10
57 10 6
58 26 20
59 10 14
60 26 30
61 34 0
62 0 23
63 17 0
64 26 40
65 0 43
66 36 0
67 16 20
68 26 0
69 20 6
70 6 20
71 14 40
72 14 30
73 20 14
74 4 20
75 16 30
76 34 30
77 20 4
78 10 14
79 20 44
80 10 6
81 20 24
82 10 14
83 10 16
84 4 10
85 44 40
86 10 6
87 34 30
88 20 34
89 30 34
90 0 3
91 16 10
92 0 7
93 40 4
94 26 40
95 14 0
96 0 14
97 10 26
98 0 6
99 10 14
100 44 0
ITERATION: 5
1 20 5
2 0 35
3 40 45
4 5 10
5 20 5
6 40 25
7 6 0
8 5 20
9 35 10
10 45 10
11 15 40
12 10 45
13 5 20
14 15 20
15 0 3
16 10 35
17 30 25
18 10 25
19 25 40
20 45 20
21 25 10
22 35 40
23 10 45
24 34 0
25 35 40
26 0 34
27 35 10
28 30 5
29 20 15
30 10 15
31 20 25
32 0 35
33 35 30
34 5 10
35 30 5
36 15 10
37 35 0
38 0 15
39 35 30
40 25 0
41 34 0
42 15 30
43 5 20
44 5 40
45 10 35
46 45 20
47 30 25
48 5 30
49 35 0
50 10 15
51 26 0
52 20 25
53 35 0
54 40 35
55 5 30
56 25 10
57 10 5
58 25 20
59 10 15
60 25 30
61 35 0
62 0 24
63 16 0
64 25 40
65 0 44
66 35 0
67 15 20
68 25 0
69 20 5
70 5 20
71 15 40
72 15 30
73 20 15
74 5 20
75 15 30
76 35 30
77 20 5
78 10 15
79 20 45
80 10 5
81 20 25
82 10 15
83 10 15
84 5 10
85 45 40
86 10 5
87 35 30
88 20 35
89 30 35
90 0 4
91 15 10
92 0 6
93 40 5
94 25 40
95 15 0
96 0 15
97 10 25
98 0 5
99 10 15
100 45 0
ITERATION: 6
1 20 4
2 0 34
3 40 46
4 6 10
5 20 4
6 40 26
7 5 0
8 6 20
9 34 10
10 46 10
11 14 40
12 10 46
13 4 20
14 14 20
15 0 4
16 10 34
17 30 26
18 10 24
19 24 40
20 46 20
21 24 10
22 36 40
23 10 46
24 35 0
25 34 40
26 0 35
27 34 10
28 30 4
29 20 16
30 10 14
31 20 24
32 0 36
33 34 30
34 4 10
35 30 4
36 14 10
37 34 0
38 0 14
39 36 30
40 26 0
41 35 0
42 14 30
43 6 20
44 4 40
45 10 34
46 46 20
47 30 26
48 4 30
49 36 0
50 10 16
51 25 0
52 20 26
53 36 0
54 40 36
55 6 30
56 26 10
57 10 4
58 24 20
59 10 16
60 24 30
61 36 0
62 0 25
63 15 0
64 24 40
65 0 45
66 34 0
67 14 20
68 24 0
69 20 4
70 4 20
71 16 40
72 16 30
73 20 16
74 6 20
75 14 30
76 36 30
77 20 6
78 10 16
79 20 46
80 10 4
81 20 26
82 10 16
83 10 14
84 6 10
85 46 40
86 10 4
87 36 30
88 20 36
89 30 36
90 0 5
91 14 10
92 0 5
93 40 6
94 24 40
95 16 0
96 0 16
97 10 24
98 0 4
99 10 16
100 46 0
ITERATION: 7
1 20 3
2 0 33
3 40 47
4 7 10
5 20 3
6 40 27
7 4 0
8 7 20
9 33 10
10 47 10
11 13 40
12 10 47
13 3 20
14 13 20
15 0 5
16 10 33
17 30 27
18 10 23
19 23 40
20 47 20
21 23 10
22 37 40
23 10 47
24 36 0
25 33 40
26 0 36
27 33 10
28 30 3
29 20 17
30 10 13
31 20 23
32 0 37
33 33 30
34 3 10
35 30 3
36 13 10
37 33 0
38 0 13
39 37 30
40 27 0
41 36 0
42 13 30
43 7 20
44 3 40
45 10 33
46 47 20
47 30 27
48 3 30
49 37 0
50 10 17
51 24 0
52 20 27
53 37 0
54 40 37
55 7 30
56 27 10
57 10 3
58 23 20
59 10 17
60 23 30
61 37 0
62 0 26
63 14 0
64 23 40
65 0 46
66 33 0
67 13 20
68 23 0
69 20 3
70 3 20
71 17 40
72 17 30
73 20 17
74 7 20
75 13 30
76 37 30
77 20 7
78 10 17
79 20 47
80 10 3
81 20 27
82 10 17
83 10 13
84 7 10
85 47 40
86 10 3
87 37 30
88 20 37
89 30 37
90 0 6
91 13 10
92 0 4
93 40 7
94 23 40
95 17 0
96 0 17
97 10 23
98 0 3
99 10 17
100 47 0
ITERATION: 8
1 20 2
2 0 32
3 40 48
4 8 10
5 20 2
6 40 28
7 3 0
8 8 20
9 32 10
10 48 10
11 12 40
12 10 48
13 2 20
14 12 20
15 0 6
16 10 32
17 30 28
18 10 22
19 22 40
20 48 20
21 22 10
22 38 40
23 10 48
24 37 0
25 32 40
26 0 37
27 32 10
28 30 2
29 20 18
30 10 12
31 20 22
32 0 38
33 32 30
34 2 10
35 30 2
36 12 10
37 32 0
38 0 12
39 38 30
40 28 0
41 37 0
42 12 30
43 8 20
44 2 40
45 10 32
46 48 20
47 30 28
48 2 30
49 38 0
50 10 18
51 23 0
52 20 28
53 38 0
54 40 38
55 8 30
56 28 10
57 10 2
58 22 20
59 10 18
60 22 30
61 38 0
62 0 27
63 13 0
64 22 40
65 0 47
66 32 0
67 12 20
68 22 0
69 20 2
70 2 20
71 18 40
72 18 30
73 20 18
74 8 20
75 12 30
76 38 30
77 20 8
78 10 18
79 20 48
80 10 2
81 20 28
82 10 18
83 10 12
84 8 10
85 48 40
86 10 2
87 38 30
88 20 38
89 30 38
90 0 7
91 12 10
92 0 3
93 40 8
94 22 40
95 18 0
96 0 18
97 10 22
98 0 2
99 10 18
100 48 0
ITERATION: 9
1 20 1
2 0 31
3 40 49
4 9 10
5 20 1
6 40 29
7 2 0
8 9 20
9 31 10
10 49 10
11 11 40
12 10 49
13 1 20
14 11 20
15 0 7
16 10 31
17 30 29
18 10 21
19 21 40
20 49 20
21 21 10
22 39 40
23 10 49
24 38 0
25 31 40
26 0 38
27 31 10
28 30 1
29 20 19
30 10 11
