USERS: 100
ITERATIONS: 300
ITERATION: 1
1 33 38
2 5 26
3 4 10
4 8 0
5 36 35
6 0 19
7 41 33
8 13 27
9 11 8
10 29 9
11 20 25
12 20 47
13 31 44
14 36 42
15 10 16
16 11 35
17 6 44
18 31 22
19 40 17
20 34 31
21 18 46
22 2 38
23 32 18
24 7 10
25 22 37
26 11 7
27 12 40
28 48 21
29 19 18
30 7 6
31 23 38
32 19 35
33 47 17
34 9 10
35 3 39
36 39 26
37 3 46
38 46 21
39 3 0
40 48 9
41 35 5
42 36 37
43 37 14
44 36 20
45 8 43
46 29 25
47 34 24
48 48 38
49 17 31
50 19 8
51 13 4
52 43 19
53 11 4
54 32 7
55 46 12
56 21 10
57 18 39
58 14 40
59 13 39
60 49 17
61 47 16
62 40 28
63 11 7
64 26 5
65 34 26
66 10 13
67 34 46
68 25 13
69 6 36
70 5 7
71 2 5
72 6 38
73 5 45
74 37 0
75 25 28
76 19 19
77 11 46
78 16 26
79 12 13
80 2 13
81 33 42
82 0 24
83 41 13
84 40 11
85 31 1
86 37 17
87 3 47
88 17 29
89 30 0
90 27 3
91 26 43
92 49 0
93 10 18
94 20 37
95 48 43
96 40 0
97 36 46
98 19 44
99 48 32
100 26 37
ITERATION: 2
1 32 39
2 4 27
3 3 11
4 9 1
5 35 36
6 0 20
7 40 34
8 12 28
9 10 9
10 28 10
11 21 24
12 19 48
13 30 45
14 35 43
15 9 17
16 10 36
17 5 45
18 30 23
19 39 18
20 33 32
21 17 47
22 1 39
23 31 19
24 6 11
25 21 38
26 10 8
27 11 41
28 47 22
29 18 19
30 6 7
31 22 39
32 18 36
33 46 18
34 8 11
35 2 40
36 38 27
37 2 47
38 45 22
39 2 1
40 47 10
41 34 6
42 35 38
43 36 15
44 35 21
45 7 44
46 28 26
47 33 25
48 47 39
49 16 32
50 18 9
51 12 5
52 42 20
53 10 5
54 31 8
55 45 13
56 20 11
57 17 40
58 13 41
59 12 40
60 49 18
61 46 17
62 39 29
63 10 8
64 25 6
65 33 27
66 9 14
67 33 47
68 24 14
69 5 37
70 4 8
71 1 6
72 5 39
73 4 46
74 37 0
75 26 27
76 18 20
77 10 47
78 15 27
79 11 14
80 1 14
81 32 43
82 0 23
83 40 14
84 39 12
85 30 2
86 36 18
87 2 48
88 16 30
89 30 1
90 26 4
91 25 44
92 49 0
93 9 19
94 19 38
95 47 44
96 40 0
97 35 47
98 18 45
99 47 33
100 25 38
ITERATION: 3
1 31 39
2 3 27
3 2 11
4 8 1
5 34 36
6 0 20
7 39 34
8 11 28
9 9 9
10 27 10
11 22 24
12 18 48
13 29 45
14 34 43
15 8 17
16 9 36
17 4 45
18 29 23
19 38 18
20 32 32
21 16 47
22 0 39
23 30 19
24 5 11
25 20 38
26 9 8
27 10 41
28 46 22
29 17 19
30 5 7
31 21 39
32 17 36
33 45 18
34 7 11
35 1 40
36 37 27
37 1 47
38 44 22
39 1 1
40 46 10
41 33 6
42 34 38
43 35 15
44 34 21
45 6 44
46 27 26
47 32 25
48 46 39
49 15 32
50 17 9
51 11 5
52 41 20
53 9 5
54 30 8
55 44 13
56 19 11
57 16 40
58 12 41
59 11 40
60 48 17
61 45 17
62 38 29
63 9 8
64 24 6
65 32 27
66 8 14
67 32 47
68 23 14
69 4 37
70 3 8
71 0 6
72 4 39
73 3 46
74 38 1
75 27 27
76 17 20
77 9 47
78 14 27
79 10 14
80 0 14
81 31 43
82 1 24
83 39 14
84 38 12
85 29 2
86 35 18
87 1 48
88 15 30
89 29 1
90 25 4
91 24 44
92 48 0
93 8 19
94 18 38
95 46 44
96 39 1
97 34 47
98 17 45
99 46 33
100 24 38
ITERATION: 4
1 30 39
2 2 27
3 1 11
4 7 1
5 33 36
6 0 20
7 38 34
8 10 28
9 8 9
10 26 10
11 23 24
12 17 48
13 28 45
14 33 43
15 7 17
16 8 36
17 3 45
18 28 23
19 37 18
20 31 32
21 15 47
22 1 39
23 29 19
24 4 11
25 19 38
26 8 8
27 9 41
28 45 22
29 16 19
30 4 7
31 20 39
32 16 36
33 44 18
34 6 11
35 0 40
36 36 27
37 0 47
38 43 22
39 0 1
40 45 10
41 32 6
42 33 38
43 34 15
44 33 21
45 5 44
46 26 26
47 31 25
48 45 39
49 14 32
50 16 9
51 10 5
52 40 20
53 8 5
54 29 8
55 43 13
56 18 11
57 15 40
58 11 41
59 10 40
60 47 17
61 44 17
62 37 29
63 8 8
64 23 6
65 31 27
66 7 14
67 31 47
68 22 14
69 3 37
70 2 8
71 1 5
72 3 39
73 2 46
74 37 1
75 26 27
76 16 20
77 8 47
78 13 27
79 9 14
80 0 13
81 30 43
82 0 24
83 38 14
84 37 12
85 28 2
86 34 18
87 0 48
88 14 30
89 28 1
90 24 4
91 23 44
92 48 0
93 7 19
94 17 38
95 45 44
96 38 1
97 33 47
98 16 45
99 45 33
100 23 38
ITERATION: 5
1 31 39
2 3 27
3 2 11
4 8 1
5 34 36
6 0 20
7 39 34
8 11 28
9 9 9
10 27 10
11 22 24
12 18 48
13 29 45
14 34 43
15 8 17
16 9 36
17 4 45
18 29 23
19 38 18
20 32 32
21 16 47
22 2 39
23 30 19
24 5 11
25 20 38
26 9 8
27 10 41
28 46 22
29 17 19
30 5 7
31 21 39
32 17 36
33 45 18
34 7 11
35 0 40
36 37 27
37 0 48
38 44 22
39 0 2
40 46 10
41 33 6
42 34 38
43 35 15
44 34 21
45 6 44
46 27 26
47 32 25
48 46 39
49 15 32
50 17 9
51 11 5
52 41 20
53 9 5
54 30 8
55 44 13
56 19 11
57 16 40
58 12 41
59 11 40
60 48 17
61 45 17
62 38 29
63 9 8
64 24 6
65 32 27
66 8 14
67 32 47
68 23 14
69 4 37
70 3 8
71 2 5
72 4 39
73 3 46
74 38 1
75 27 27
76 17 20
77 9 47
78 14 27
79 10 14
80 0 13
81 31 43
82 1 25
83 39 14
84 38 12
85 29 2
86 35 18
87 0 48
88 15 30
89 29 1
90 25 4
91 24 44
92 49 0
93 8 19
94 18 38
95 46 44
96 39 1
97 34 47
98 17 45
99 46 33
100 24 38
ITERATION: 6
1 32 39
2 4 27
3 3 11
4 9 1
5 35 36
6 0 20
7 40 34
8 12 28
9 10 9
10 28 10
11 21 24
12 19 48
13 30 45
14 35 43
15 9 17
16 10 36
17 5 45
18 30 23
19 39 18
20 33 32
21 17 47
22 3 39
23 31 19
24 6 11
25 21 38
26 10 8
27 11 41
28 47 22
29 18 19
30 6 7
31 22 39
32 18 36
33 46 18
34 8 11
35 1 41
36 38 27
37 1 47
38 45 22
39 1 1
40 47 10
41 34 6
42 35 38
43 36 15
44 35 21
45 7 44
46 28 26
47 33 25
48 47 39
49 16 32
50 18 9
51 12 5
52 42 20
53 10 5
54 31 8
55 45 13
56 20 11
57 17 40
58 13 41
59 12 40
60 49 17
61 46 17
62 39 29
63 10 8
