USERS: 100
ITERATIONS: 300
ITERATION: 1
1 2 3
2 45 5
3 1 22
4 10 7
5 1 23
6 21 12
7 34 22
8 40 41
9 30 24
10 29 17
11 13 41
12 23 27
13 6 11
14 32 4
15 24 38
16 5 20
17 0 14
18 46 23
19 22 35
20 6 19
21 32 10
22 14 31
23 22 9
24 47 38
25 16 43
26 46 37
27 24 8
28 11 37
29 6 24
30 9 14
31 28 38
32 24 38
33 28 3
34 5 6
35 47 13
36 28 16
37 35 42
38 3 17
39 35 17
40 35 35
41 13 32
42 42 41
43 17 22
44 36 21
45 15 7
46 33 31
47 42 39
48 28 16
49 5 38
50 0 43
51 24 21
52 30 29
53 18 11
54 12 0
55 39 34
56 25 11
57 0 44
58 14 11
59 21 0
60 26 37
61 41 29
62 35 12
63 9 42
64 45 29
65 19 33
66 41 13
67 42 28
68 22 35
69 39 32
70 25 26
71 43 25
72 34 6
73 21 15
74 33 7
75 23 26
76 44 16
77 30 7
78 49 20
79 2 26
80 27 3
81 6 42
82 0 13
83 35 25
84 35 6
85 14 48
86 16 12
87 26 1
88 37 8
89 38 17
90 38 22
91 14 5
92 12 37
93 3 41
94 14 18
95 32 27
96 49 40
97 26 9
98 45 12
99 16 2
100 19 45
ITERATION: 2
1 1 2
2 46 6
3 0 21
4 11 6
5 0 23
6 20 13
7 33 21
8 40 42
9 31 24
10 30 18
11 13 40
12 23 26
13 6 10
14 33 4
15 25 38
16 6 19
17 0 14
18 45 24
19 22 36
20 5 19
21 32 11
22 15 30
23 21 10
24 46 38
25 17 44
26 47 38
27 24 9
28 11 38
29 5 25
30 10 14
31 29 38
32 25 37
33 27 2
34 5 5
35 47 14
36 27 17
37 36 41
38 4 16
39 34 16
40 36 36
41 14 33
42 41 42
43 18 22
44 37 21
45 16 6
46 34 30
47 41 40
48 27 15
49 4 38
50 0 43
51 24 20
52 29 29
53 17 11
54 12 0
55 38 33
56 25 12
57 0 44
58 14 12
59 21 0
60 27 36
61 41 30
62 34 12
63 9 43
64 46 30
65 18 33
66 42 14
67 43 27
68 23 34
69 38 32
70 24 26
71 42 26
72 35 5
73 21 16
74 32 8
75 24 27
76 44 17
77 30 6
78 49 20
79 3 27
80 27 4
81 6 43
82 0 13
83 35 24
84 34 5
85 13 49
86 16 13
87 25 0
88 38 8
89 39 17
90 39 21
91 15 6
92 11 36
93 2 40
94 13 18
95 33 27
96 49 40
97 25 10
98 44 12
99 17 2
100 20 44
ITERATION: 3
1 0 1
2 47 7
3 0 21
4 12 5
5 0 23
6 19 14
7 32 20
8 40 43
9 32 24
10 31 19
11 13 39
12 23 25
13 6 9
14 34 4
15 26 38
16 7 18
17 0 14
18 44 25
19 22 37
20 4 19
21 32 12
22 16 29
23 20 11
24 45 38
25 18 45
26 48 39
27 24 10
28 11 39
29 4 26
30 11 14
31 30 38
32 26 36
33 26 1
34 5 4
35 47 15
36 26 18
37 37 40
38 5 15
39 33 15
40 37 37
41 15 34
42 40 43
43 19 22
44 38 21
45 17 5
46 35 29
47 40 41
48 26 14
49 3 38
50 0 43
51 24 19
52 28 29
53 16 11
54 12 0
55 37 32
56 25 13
57 0 44
58 14 13
59 21 0
60 28 35
61 41 31
62 33 12
63 9 44
64 47 31
65 17 33
66 43 15
67 44 26
68 24 33
69 37 32
70 23 26
71 41 27
72 36 4
73 21 17
74 31 9
75 25 28
76 44 18
77 30 5
78 49 20
79 4 28
80 27 5
81 6 44
82 0 13
83 35 23
84 33 4
85 13 49
86 16 14
87 25 0
88 39 8
89 40 17
90 40 20
91 16 7
92 10 35
93 1 39
94 12 18
95 34 27
96 49 40
97 24 11
98 43 12
99 18 2
100 21 43
ITERATION: 4
1 0 1
2 48 8
3 0 21
4 13 4
5 0 23
6 18 15
7 31 19
8 40 44
9 33 24
10 32 20
11 13 38
12 23 24
13 6 8
14 35 4
15 27 38
16 8 17
17 0 14
18 43 26
19 22 38
20 3 19
21 32 13
22 17 28
23 19 12
24 44 38
25 19 46
26 49 40
27 24 11
28 11 40
29 3 27
30 12 14
31 31 38
32 27 35
33 25 0
34 5 3
35 47 16
36 25 19
37 38 39
38 6 14
39 32 14
40 38 38
41 16 35
42 39 44
43 20 22
44 39 21
45 18 4
46 36 28
47 39 42
48 25 13
49 2 38
50 0 43
51 24 18
52 27 29
53 15 11
54 12 0
55 36 31
56 25 14
57 0 44
58 14 14
59 21 0
60 29 34
61 41 32
62 32 12
63 9 45
64 48 32
65 16 33
66 44 16
67 45 25
68 25 32
69 36 32
70 22 26
71 40 28
72 37 3
73 21 18
74 30 10
75 26 29
76 44 19
77 30 4
78 49 20
79 5 29
80 27 6
81 6 45
82 0 13
83 35 22
84 32 3
85 13 49
86 16 15
87 25 0
88 40 8
89 41 17
90 41 19
91 17 8
92 9 34
93 0 38
94 11 18
95 35 27
96 49 40
97 23 12
98 42 12
99 19 2
100 22 42
ITERATION: 5
1 0 1
2 49 9
3 0 21
4 14 3
5 0 23
6 17 16
7 30 18
8 40 45
9 34 24
10 33 21
11 13 37
12 23 23
13 6 7
14 36 4
15 28 38
16 9 16
17 0 14
18 42 27
19 22 39
20 2 19
21 32 14
22 18 27
23 18 13
24 43 38
25 20 47
26 49 40
27 24 12
28 11 41
29 2 28
30 13 14
31 32 38
32 28 34
33 25 0
34 5 2
35 47 17
36 24 20
37 39 38
38 7 13
39 31 13
40 39 39
41 17 36
42 38 45
43 21 22
44 40 21
45 19 3
46 37 27
47 38 43
48 24 12
49 1 38
50 0 42
51 24 17
52 26 29
53 14 11
54 12 1
55 35 30
56 25 15
57 0 44
58 14 15
59 21 0
60 30 33
61 41 33
62 31 12
63 9 46
64 49 33
65 15 33
66 45 17
67 46 24
68 26 31
69 35 32
70 21 26
71 39 29
72 38 2
73 21 19
74 29 11
75 27 30
76 44 20
77 30 3
78 48 20
79 6 30
80 27 7
81 6 46
82 0 13
83 35 21
84 31 2
85 13 49
86 16 16
87 25 0
88 41 8
89 42 17
90 42 18
91 18 9
92 8 33
93 0 38
94 10 18
95 36 27
96 49 40
97 22 13
98 41 12
99 20 2
100 23 41
ITERATION: 6
1 0 1
2 49 9
3 0 21
4 15 2
5 0 23
6 16 17
7 29 17
8 40 46
9 35 24
10 34 22
11 13 36
12 23 22
13 6 6
14 37 4
15 29 38
16 10 15
17 0 13
18 41 28
19 22 40
20 1 19
21 32 15
22 19 26
23 17 14
24 42 38
25 21 48
26 49 40
27 24 13
28 11 42
29 1 29
30 14 14
31 33 38
32 29 33
33 25 0
34 5 1
35 47 18
36 23 21
37 40 37
38 8 12
39 30 12
40 40 40
41 18 37
42 37 46
43 22 22
44 41 21
45 20 2
46 38 26
47 37 44
48 23 11
49 0 38
50 0 42
51 24 16
52 25 29
53 13 11
54 12 2
55 34 29
56 25 16
57 0 44
58 14 16
59 21 0
60 31 32
61 41 34
62 30 12
63 9 47
64 49 33
65 14 33
66 46 18
67 47 23
68 27 30
69 34 32
70 20 26
71 38 30
72 39 1
73 21 20
74 28 12
75 28 31
76 44 21
77 30 2
78 47 20
79 7 31
80 27 8
81 6 47
82 0 13
83 35 20
84 30 1
85 13 49
86 16 17
87 24 1
88 42 8
89 43 17
90 43 17
91 19 10
92 7 32
93 0 38
94 9 18
95 37 27
96 49 40
97 21 14
98 40 12
99 21 2
100 24 40
ITERATION: 7
1 0 1
2 49 9
3 0 21
4 16 1
5 1 23
6 15 18
7 28 16
8 40 47
9 36 24
10 35 23
11 13 35
12 23 21
13 6 5
14 38 4
15 30 38
16 11 14
17 0 13
18 40 29
19 22 41
20 0 19
21 32 16
22 20 25
23 16 15
24 41 38
25 22 49
26 49 40
27 24 14
28 11 43
29 0 30
30 15 14
31 34 38
32 30 32
33 25 0
34 5 0
35 47 19
36 22 22
37 41 36
38 9 11
39 29 11
40 41 41
41 19 38
42 36 47
43 23 22
44 42 21
45 21 1
46 39 25
47 36 45
48 22 10
49 0 38
50 0 42
51 24 15
52 24 29
53 12 11
54 12 3
55 33 28
56 25 17
57 0 44
58 14 17
59 20 1
60 32 31
61 41 35
62 29 12
63 9 48
64 49 33
65 13 33
66 47 19
67 48 22
68 28 29
69 33 32
70 19 26
71 37 31
72 40 0
73 21 21
74 27 13
75 29 32
76 44 22
77 30 1
78 46 20
79 8 32
80 27 9
81 6 48
82 0 13
83 35 19
84 29 0
85 13 49
86 16 18
87 23 2
88 43 8
89 44 17
90 44 16
91 20 11
92 6 31
93 0 38
94 8 18
95 38 27
96 49 40
