USERS: 49
ITERATIONS: 300
ITERATION: 1
1 14 2
2 17 46
3 30 33
4 34 0
5 30 11
6 1 8
7 20 46
8 38 22
9 4 33
10 16 22
11 33 48
12 0 29
13 8 7
14 42 13
15 12 47
16 42 22
17 28 43
18 12 43
19 32 24
20 3 21
21 41 35
22 31 14
23 43 16
24 6 48
25 14 3
26 18 10
27 37 4
28 37 40
29 42 34
30 37 21
31 39 24
32 5 37
33 0 46
34 23 30
35 41 43
36 18 17
37 37 47
38 17 1
39 14 18
40 1 4
41 41 21
42 26 47
43 21 40
44 17 32
45 21 7
46 47 28
47 6 31
48 30 28
49 31 26
ITERATION: 2
1 15 3
2 18 47
3 31 34
4 34 0
5 31 12
6 2 9
7 21 47
8 39 23
9 5 34
10 17 23
11 34 49
12 0 30
13 9 8
14 43 14
15 13 48
16 43 23
17 29 44
18 13 44
19 33 25
20 4 22
21 42 36
22 32 15
23 44 17
24 7 49
25 15 4
26 19 11
27 38 5
28 38 41
29 43 35
30 38 22
31 40 25
32 6 38
33 0 46
34 22 29
35 42 44
36 19 18
37 38 48
38 18 2
39 15 19
40 2 5
41 42 22
42 27 48
43 22 41
44 18 33
45 22 8
46 48 29
47 7 32
48 31 29
49 32 27
ITERATION: 3
1 14 4
2 17 48
3 30 35
4 34 0
5 30 13
6 1 10
7 20 48
8 38 24
9 4 35
10 16 24
11 34 49
12 1 29
13 8 9
14 42 15
15 12 49
16 42 24
17 28 45
18 12 45
19 32 26
20 3 23
21 41 37
22 31 16
23 43 18
24 8 49
25 14 5
26 18 12
27 37 6
28 37 42
29 42 36
30 37 23
31 39 26
32 5 39
33 1 47
34 23 28
35 41 45
36 18 19
37 37 49
38 17 3
39 14 20
40 1 6
41 41 23
42 26 49
43 21 42
44 17 34
45 21 9
46 47 30
47 6 33
48 30 30
49 31 28
ITERATION: 4
1 14 3
2 17 47
3 30 34
4 33 0
5 30 12
6 1 9
7 20 47
8 38 23
9 4 34
10 16 23
11 34 49
12 1 28
13 8 8
14 42 14
15 12 49
16 42 23
17 28 44
18 12 44
19 32 25
20 3 22
21 41 36
22 31 15
23 43 17
24 7 49
25 14 4
26 18 11
27 37 5
28 37 41
29 42 35
30 37 22
31 39 25
32 5 38
33 1 46
34 23 29
35 41 44
36 18 18
37 38 49
38 17 2
39 14 19
40 1 5
41 41 22
42 26 49
43 21 41
44 17 33
45 21 8
46 47 29
47 6 32
48 30 29
49 31 27
ITERATION: 5
1 13 2
2 16 46
3 29 33
4 34 0
5 29 11
6 0 8
7 19 46
8 37 22
9 3 33
10 15 22
11 34 49
12 0 27
13 7 7
14 41 13
15 12 49
16 41 22
17 27 43
18 11 43
19 31 24
20 2 21
21 40 35
22 30 14
23 42 16
24 6 49
25 13 3
26 17 10
27 36 4
28 36 40
29 41 34
30 36 21
31 38 24
32 4 37
33 0 45
34 24 30
35 40 43
36 17 17
37 38 49
38 16 1
39 13 18
40 0 4
41 40 21
42 25 49
43 20 40
44 16 32
45 20 7
46 46 28
47 5 31
48 29 28
49 30 26
ITERATION: 6
1 14 1
2 17 45
3 30 32
4 35 1
5 30 10
6 0 9
7 20 45
8 38 21
9 4 32
10 16 21
11 33 49
12 1 28
13 8 6
14 42 12
15 11 49
16 42 21
17 28 42
18 12 42
19 32 23
20 3 20
21 41 34
22 31 13
23 43 15
24 6 49
25 14 2
26 18 9
27 37 3
28 37 39
29 42 33
30 37 20
31 39 23
32 5 36
33 0 45
34 23 31
35 41 42
36 18 16
37 38 49
38 17 0
39 14 17
40 0 4
41 41 20
42 25 49
43 21 39
44 17 31
45 21 6
46 47 27
47 6 30
48 30 27
49 31 25
ITERATION: 7
1 14 2
2 17 46
3 30 33
4 35 2
5 30 11
6 1 9
7 20 46
8 38 22
9 4 33
10 16 22
11 33 48
12 1 29
13 8 7
14 42 13
15 10 48
16 42 22
17 28 43
18 12 43
19 32 24
20 3 21
21 41 35
22 31 14
23 43 16
24 6 49
25 14 3
26 18 10
27 37 4
28 37 40
29 42 34
30 37 21
31 39 24
32 5 37
33 0 45
34 23 32
35 41 43
36 18 17
37 37 48
38 17 0
39 14 18
40 0 4
41 41 21
42 24 49
43 21 40
44 17 32
45 21 7
46 47 28
47 6 31
48 30 28
49 31 26
ITERATION: 8
1 13 2
2 16 46
3 29 33
4 34 2
5 29 11
6 0 9
7 19 46
8 37 22
9 3 33
10 15 22
11 32 48
12 0 29
13 7 7
14 41 13
15 9 48
16 41 22
17 27 43
18 11 43
19 31 24
20 2 21
21 40 35
22 30 14
23 42 16
24 5 49
25 13 3
26 17 10
27 36 4
28 36 40
29 41 34
30 36 21
31 38 24
32 4 37
33 0 45
34 22 32
35 40 43
36 17 17
37 36 48
38 17 0
39 13 18
40 1 4
41 40 21
42 24 49
43 20 40
44 16 32
45 20 7
46 46 28
47 5 31
48 29 28
49 30 26
ITERATION: 9
1 13 1
2 16 45
3 29 32
4 34 1
5 29 10
6 1 8
7 19 45
8 37 21
9 3 32
10 15 21
11 32 47
12 0 29
13 7 6
14 41 12
15 9 47
16 41 21
17 27 42
18 11 42
19 31 23
20 2 20
21 40 34
22 30 13
23 42 15
24 5 49
25 13 2
26 17 9
27 36 3
28 36 39
29 41 33
30 36 20
31 38 23
32 4 36
33 0 45
34 22 31
35 40 42
36 17 16
37 36 47
38 16 0
39 13 17
40 1 3
41 40 20
42 23 49
43 20 39
44 16 31
45 20 6
46 46 27
47 5 30
48 29 27
49 30 25
ITERATION: 10
1 12 0
2 15 44
3 28 31
4 33 0
5 28 9
6 0 7
7 18 44
8 36 20
9 2 31
10 14 20
11 31 46
12 0 29
13 6 5
14 40 11
15 8 46
16 40 20
17 26 41
18 10 41
19 30 22
20 1 19
21 39 33
22 29 12
23 41 14
24 4 49
25 12 1
26 16 8
27 35 2
28 35 38
29 40 32
30 35 19
31 37 22
32 3 35
33 0 46
34 21 30
35 39 41
36 16 15
37 35 46
38 15 0
39 12 16
40 0 2
41 39 19
42 22 48
43 19 38
44 15 30
45 19 5
46 45 26
47 4 29
48 28 26
49 29 24
ITERATION: 11
1 12 1
2 16 44
3 29 31
4 34 1
5 29 9
6 0 7
7 19 44
8 37 20
9 3 31
10 15 20
11 32 46
12 0 28
13 7 5
14 41 11
15 9 46
16 41 20
17 27 41
18 11 41
19 31 22
20 2 19
21 40 33
22 30 12
23 42 14
24 4 49
25 13 1
26 17 8
27 36 2
28 36 38
29 41 32
30 36 19
31 38 22
32 4 35
33 0 47
34 22 30
35 40 41
36 17 15
37 36 46
38 16 1
39 13 16
40 0 2
41 40 19
42 23 48
43 20 38
44 16 30
45 20 5
46 46 26
47 5 29
48 29 26
49 30 24
ITERATION: 12
1 13 2
2 17 45
3 30 32
4 35 2
5 30 10
6 0 6
7 20 45
8 38 21
9 4 32
10 16 21
11 33 47
12 0 29
13 8 6
14 42 12
15 10 47
16 42 21
17 28 42
18 12 42
19 32 23
20 3 20
21 41 34
22 31 13
23 43 15
24 4 49
